impl,epsilon,seed,elapsed_fit,elapsed_sample,peak_mem_mb,status
mst_smartnoise,0.3,0,250.01596109906677,0.05994022300001234,49.99413776397705,ok
mst_smartnoise,0.3,1,248.98351143999025,0.05739629501476884,50.0050163269043,ok
mst_smartnoise,1.0,0,242.52984903997276,0.06623548804782331,50.02579402923584,ok
mst_smartnoise,1.0,1,244.3875434770016,0.06937378703150898,50.027997970581055,ok
mst_smartnoise,3.0,0,244.31121090298984,0.06357537198346108,50.030211448669434,ok
mst_smartnoise,3.0,1,244.0524673400214,0.06610751803964376,50.02620601654053,ok
mst_private_pgm,0.3,0,242.43825916189235,0.0017955390503630042,4.677046775817871,ok
mst_private_pgm,0.3,1,238.5826521499548,0.0008903789566829801,4.672423362731934,ok
mst_private_pgm,1.0,0,237.6300907280529,0.0007164289709180593,4.7052202224731445,ok
mst_private_pgm,1.0,1,237.7593277799897,0.0008583660237491131,4.711881637573242,ok
mst_private_pgm,3.0,0,235.8161233230494,0.0007536889752373099,4.722275733947754,ok
mst_private_pgm,3.0,1,233.79423740098719,0.000784595962613821,4.72145938873291,ok
mst_dpmm,0.3,0,304.34855167299975,0.03973102301824838,2.862569808959961,ok
mst_dpmm,0.3,1,299.7456204359187,0.05990789900533855,2.8623056411743164,ok
mst_dpmm,1.0,0,295.24961133499164,0.040392640978097916,2.86177921295166,ok
mst_dpmm,1.0,1,298.7769168339437,0.04342111304868013,2.8614139556884766,ok
mst_dpmm,3.0,0,301.11330094898585,0.042683987063355744,2.861530303955078,ok
mst_dpmm,3.0,1,303.33114374498837,0.038364722044207156,2.8621816635131836,ok
